nlambda,Ag1,Ag2,Zr1,Zr2,In1,In2,Nb1,Nb2,Mo1,Mo2
29.5,37.9,34.5,65.9,67.6,6.9,3.4,74.1,55.2,19,19
30.5,34.1,22.4,53.8,54.8,2.7,1.7,67.6,57.5,12,17.1
31.5,31.8,29.4,62.7,58.9,1.1,2.6,66,74.5,13.3,15.7
32.5,31.1,29.9,60.2,56.5,1,1.9,69.9,72.4,13.9,10.6
33.4,26.3,29.1,60.2,56.4,1.2,0.9,66.9,70.8,9.7,12.1
34.4,26.6,26.5,56.7,54.9,1,1.2,66.5,65.7,11.7,10.9
35.4,21.2,24.4,48.4,51.7,0.2,1.2,67.7,64.6,8.8,9.7
36.4,21.8,20.8,54.7,52,1.1,0.9,64.9,65.9,10.2,8
37.4,18.5,20,51.9,50.7,0.3,0.3,63.7,66.8,7.1,7.3
38.4,17.7,19.2,48.5,47.5,0.3,0.3,58,61.9,6.4,7.5
39.3,16.3,16.3,45,46.2,0.4,0.7,62.5,62.4,6.3,4.1
40.3,15.7,13.8,41.8,46.2,7.3,7.4,57.6,58.2,3.6,4.4
41.3,13,13.6,40.3,39.6,17.9,18.8,56.4,57.9,3.3,3.6
42.3,10.5,11.6,36.6,40.2,20.9,23,52.6,54.9,2.8,2.5
43.3,10.7,9.7,36.8,35.7,23.7,21.6,56.1,53.9,2.1,2.5
44.3,17.6,16.5,32.8,34.1,20.4,21,50.9,50.8,1.9,1.9
45.2,43.5,44.4,32.2,31.8,18.6,18.2,47.3,52.7,1.3,2
46.2,56.6,60,32.5,31.8,17.9,16.5,48.3,48.7,1.5,1.6
47.2,61.1,59.8,27,27.4,13.7,15.7,44.2,46.5,1,1
48.2,61.6,64.2,26.3,26.9,13.9,12.2,41.1,45,0.9,1.1
49.2,62.2,63.3,24.9,23.8,10.8,11.8,42.9,42,1.3,1.3
50.1,59,59,23.6,23.3,11,10.5,37.9,40.6,0.7,0.6
51.1,57,57.6,21.1,23.4,8.9,10.1,35,34.8,0.8,0.7
52.1,56,58.6,19.2,19.2,7.9,9.1,33.9,34.6,0.8,0.9
53.1,61,55.6,18.1,17.8,7.4,8.9,33.1,37.6,0.9,0.9
54.1,58.5,54.9,18.1,16.3,6.5,6.2,34.4,33.6,0.9,1
55,50,50.2,15.8,14.5,5.1,5.3,28.9,31.6,0.6,0.8
56,49.7,48.6,13.4,13.4,5.5,5.1,28.3,27.4,0.5,0.8
57,44.5,47.6,12.7,13.4,4.3,5.1,25.5,25.2,2.1,3.5
58,44.3,45.6,11.2,10.4,3.3,3.9,23.6,21.9,15,16.7
59,45.4,44.5,9.5,10,3.4,3.3,24.3,23.2,26.5,27.4
59.9,45.8,46.2,9.8,10.5,2.8,3,23.3,22.9,28.4,28.7
60.9,43.3,44.5,10.3,9.4,3.4,3.1,26.1,26.3,29.4,29.3
61.9,41.2,41.2,9.5,8.2,2.3,2.7,45.8,46.6,25.7,25.6
62.9,41.3,39.2,9.9,10,3.1,2.6,63.7,65,25.6,23.3
63.8,39.1,40.1,9.8,8.4,2.3,1.6,69.3,71,22.2,22.5
64.8,38.6,36.6,21.7,27.7,1.8,1.3,73.7,74.5,20.3,21.7
65.8,31.2,35.1,54.9,58.3,1.4,1.7,82.3,83,21,24.5
66.8,37.4,37.5,68.3,67,1.1,1.3,78.7,76.8,21.9,22.7
67.8,38.2,38.6,70.9,71.5,1.2,1.4,80.9,83.3,23,21.2
68.7,36,35.7,68.3,65.6,0.9,0.8,78.7,80.9,19.2,19.5
69.7,30.8,32.1,63.5,65.1,1.2,0.8,75.3,75.2,17.3,15.7
70.7,28.4,28.3,61.9,58.9,0.9,0.5,73.5,69.7,14.9,14.2
71.7,27.4,26.1,60,59.1,0.5,0.4,71.8,75.6,14.6,12.9
72.6,23.6,23.7,54.8,53.2,0.6,0.6,67.7,72.4,12.6,11.9
73.6,22.4,24.1,56.3,58.5,0.6,0.9,76.3,68.9,10.8,12.6
74.6,22.8,24.8,55.7,59.2,0.7,1,72.7,72.3,9.5,10.1
75.6,20.9,21.1,53.8,51.2,0.6,0.2,67.3,71.7,10.7,8.6
76.5,17.5,16.7,40.4,47.2,0.8,0.2,57.4,60.6,10.2,7.1
77.5,18.8,18,47.4,50.6,0.6,0.3,63.4,63.9,7.6,6.3
78.5,19.8,18,49.6,49.2,0.8,0.6,65.6,61.1,6.9,7.7
79.5,18,15.2,53.5,52.7,0.4,0.5,66.5,63.8,7.4,7.6
80.4,17.5,18.3,45.6,49,0.8,0.3,62.6,64.5,7.8,7.5
81.4,15.5,18.5,48.4,44.6,1.4,1.1,59.2,60.4,6.1,6.2
82.4,14,15,44.9,46.4,0.5,0.7,63,60.8,5.3,5.9
83.4,12.3,15.2,47.7,45.8,1.4,1.7,58.3,58.9,7.1,5.8
84.3,12.6,13,39.1,38.7,6.1,3.5,53.8,55.5,5.1,5.4
85.3,15.9,12,44.8,40.8,7.4,6.9,54.4,61,5.1,3
86.3,11.1,10.4,39.5,38.2,10.9,12,52.1,51.9,5.2,3.7
87.3,12.7,12.3,39.1,38.3,11.5,10,45.9,53.8,3.9,3.9
88.2,10.8,10.4,38.2,44.5,10.2,11.1,57.6,47.9,3.6,3.9
89.2,11.4,10.4,32.9,35.6,10.2,15,50.5,49.8,3.9,2.8
90.2,10.2,10.4,37.1,39,11,12.4,52.6,55.4,4.6,4.8
91.1,11,11.9,37.4,36.8,12.1,12.1,57.1,53.1,3.4,3.4
92.1,13.7,16.4,36.8,39,13.2,14.2,51.6,54.3,4.8,5.5
93.1,30.5,28.2,37.7,38.6,12.5,12.7,47,45.5,5.2,5.2
94.1,39.2,42.3,31.8,36.8,9.1,13.2,47.6,46.7,3.8,3.3
95,42.2,36.4,31.7,34.8,10.1,11,44.5,48.5,3.1,3.8
96,44.7,46.1,34.2,35.5,11.6,10,54.2,43.2,3.9,4.5
97,48.6,50,28.8,37.1,14,12.1,47,50.8,2.7,4.4